method,kind,voc21,context60,cocoobject,voc20,context59,cocostuff,cityscapes,ade20k,Avg_8
CLIP,reported,16.4,8.4,5.6,41.9,9.2,4.4,5.0,2.9,11.725
MaskCLIP,reported,43.4,23.2,20.6,74.9,26.4,16.7,24.9,11.9,30.25
NACLIP,reported,58.9,32.2,33.2,79.7,35.2,23.3,35.5,17.4,39.425000000000004
ProxyCLIP (SAM),reported,59.3,33.6,35.4,80.4,37,25,37,19.1,40.85
DIH-CLIP,reported,64.2,36,37.4,84.9,39.7,26.7,40.2,19.6,43.5875
SCLIP + LHT-CLIP,reported,64.8,34.8,36.6,86.3,37.6,24.9,36.1,18.0,42.3875
ClearCLIP + LHT-CLIP,reported,63.8,35.2,35.6,85.7,38.8,25.8,37.8,19.2,42.7375
ClearCLIP,baseline,51.7882460934708,33.781059351383774,33.03427267156861,80.9287627917125,35.84293490767519,23.895841395431987,30.04053349731606,16.63618778277745,38.243479811417046
ClearCLIP + CCAR,ccar,52.44968265320619,36.25158256185185,32.962909456250486,82.28428795736207,38.58237894579354,25.76376324997493,34.58875745151109,19.002491310355076,40.235731698288156
SCLIP,baseline,59.62145658193418,32.59167472342842,33.519851946422854,81.5350631972228,34.14006725453038,22.77196160621844,32.34103118610072,16.452488563273253,39.121699382391384
SCLIP + CCAR,ccar,62.89307797725888,36.48284962385286,37.28771463384572,81.35188401001383,39.04948455802134,25.98540577102565,39.45736030584832,20.51264216027444,42.87755238001763
